id,tappa
18672,U05
18673,E50
18674,E13
18675,E34Z
18676,V04
18677,F12
18678,F02
18679,V13
18680,V26
18681,F16
18682,E44
18683,P12
18684,V07
18685,V27
18686,F11
18687,P11
18689,D21S
18690,F18
22304,L05AP
22926,L19
